metric,question,retrieval_time,avg_relevance,max_relevance,keyword_coverage,coverage_percentage,diversity_score,num_retrieved,unique_sources
cosine,What are the duties of company directors?,1.1905062198638916,0.7477187562512455,0.773503984119742,0.2,20.0,0.3333333333333333,5,1
cosine,How can a company appoint additional directors?,0.01819133758544922,0.7237842185751553,0.7524253385392896,0.5,50.0,1.0,5,3
cosine,What are the penalties for late filing of annual r,0.04248619079589844,0.3973816046194642,0.4241289534124846,0.6,60.0,0.6666666666666666,5,2
cosine,What is the process for winding up a company?,0.026731491088867188,0.7088388763465101,0.77860728169955,0.6,60.0,0.3333333333333333,5,1
cosine,What are the requirements for annual general meeti,0.017717838287353516,0.7403370322210968,0.7648448918041719,0.2,20.0,0.6666666666666666,5,2
cosine,What powers do shareholders have?,0.02633810043334961,0.5491819777498698,0.5966573223948899,0.2,20.0,0.6666666666666666,5,2
cosine,How are companies regulated by SEBI?,0.0238497257232666,0.6029978069659319,0.6380025028763328,0.2,20.0,1.0,5,3
cosine,What is the role of the board of directors?,0.02322983741760254,0.7765768874355441,0.8255244139054128,0.4,40.0,0.6666666666666666,5,2
cosine,What are the rules for related party transactions?,0.023656129837036133,0.505028912792973,0.5428152428834707,0.4,40.0,0.3333333333333333,5,1
cosine,How can a company raise capital?,0.01844048500061035,0.49856882309452394,0.5815695092562958,0.0,0.0,1.0,5,3
euclidean,What are the duties of company directors?,0.02096724510192871,0.5851776175404101,0.5977119012287833,0.2,20.0,0.3333333333333333,5,1
euclidean,How can a company appoint additional directors?,0.008562088012695312,0.5740103880967988,0.5869686588591312,0.5,50.0,1.0,5,3
euclidean,What are the penalties for late filing of annual r,0.011660099029541016,0.47672418238120084,0.48234788182229416,0.6,60.0,0.6666666666666666,5,2
euclidean,What is the process for winding up a company?,0.010387182235717773,0.5683641999611179,0.6004486861878037,0.6,60.0,0.3333333333333333,5,1
euclidean,What are the requirements for annual general meeti,0.013170719146728516,0.5813512886960317,0.5931931074514271,0.2,20.0,0.6666666666666666,5,2
euclidean,What powers do shareholders have?,0.012792110443115234,0.5133293751989234,0.5268269105888553,0.2,20.0,0.6666666666666666,5,2
euclidean,How are companies regulated by SEBI?,0.012639045715332031,0.5290715132095596,0.5402838461557288,0.2,20.0,1.0,5,3
euclidean,What is the role of the board of directors?,0.009181976318359375,0.6000897986585011,0.6286457951605576,0.4,40.0,0.6666666666666666,5,2
euclidean,What are the rules for related party transactions?,0.017491579055786133,0.5013829743866549,0.5111881954554715,0.4,40.0,0.3333333333333333,5,1
euclidean,How can a company raise capital?,0.013028383255004883,0.5002835690536226,0.5222474649129522,0.0,0.0,1.0,5,3
hybrid,What are the duties of company directors?,0.04016256332397461,0.9708685658314671,1.0,0.2,20.0,0.3333333333333333,5,1
hybrid,How can a company appoint additional directors?,0.029963254928588867,0.9674051449000617,1.0,0.5,50.0,1.0,5,3
hybrid,What are the penalties for late filing of annual r,0.03351712226867676,0.9591032337006468,1.0,0.6,60.0,0.6666666666666666,5,2
hybrid,What is the process for winding up a company?,0.02726292610168457,0.9226757422072673,1.0,0.6,60.0,0.3333333333333333,5,1
hybrid,What are the requirements for annual general meeti,0.03536534309387207,0.9720742816849224,1.0,0.2,20.0,0.6666666666666666,5,2
hybrid,What powers do shareholders have?,0.03899669647216797,0.9404207454411602,1.0,0.2,20.0,0.6666666666666666,5,2
hybrid,How are companies regulated by SEBI?,0.02537059783935547,0.9574434619028708,1.0,0.2,20.0,1.0,5,3
hybrid,What is the role of the board of directors?,0.033101797103881836,0.9453770873911275,1.0,0.4,40.0,0.6666666666666666,5,2
hybrid,What are the rules for related party transactions?,0.04654955863952637,0.9498384175128549,1.0,0.4,40.0,0.3333333333333333,5,1
hybrid,How can a company raise capital?,0.033399105072021484,0.8949772382483074,1.0,0.0,0.0,1.0,5,3
